Date,Close,Open,High,Low
7/5/19,2990.41,2984.25,2994.03,2967.97
7/3/19,2995.82,2978.08,2995.84,2977.96
7/2/19,2973.01,2964.66,2973.21,2955.92
7/1/19,2964.33,2971.41,2977.93,2952.22
6/28/19,2941.76,2932.94,2943.98,2929.05
6/27/19,2924.92,2919.66,2929.3,2918.57
6/26/19,2913.78,2926.07,2932.59,2912.99
6/25/19,2917.38,2945.78,2946.52,2916.01
6/24/19,2945.35,2951.42,2954.92,2944.05
6/21/19,2950.46,2952.71,2964.15,2946.87
6/20/19,2954.18,2949.6,2958.06,2931.5
6/19/19,2926.46,2920.55,2931.74,2911.43
6/18/19,2917.75,2906.71,2930.79,2905.44
6/17/19,2889.67,2889.75,2897.27,2887.3
6/14/19,2886.98,2886.82,2894.45,2879.62
6/13/19,2891.64,2886.24,2895.24,2881.99
6/12/19,2879.84,2882.73,2888.57,2874.68
6/11/19,2885.72,2903.27,2910.61,2878.53
6/10/19,2886.73,2885.83,2904.77,2885.51
6/7/19,2873.34,2852.87,2884.97,2852.87
6/6/19,2843.49,2828.51,2852.1,2822.45
6/5/19,2826.15,2818.09,2827.28,2800.92
6/4/19,2803.27,2762.64,2804.49,2762.64
6/3/19,2744.45,2751.53,2763.07,2728.81
5/31/19,2752.06,2766.15,2768.98,2750.52
5/30/19,2788.86,2786.94,2799,2776.74
5/29/19,2783.02,2790.25,2792.03,2766.06
5/28/19,2802.39,2830.03,2840.51,2801.58
5/24/19,2826.06,2832.41,2841.36,2820.19
5/23/19,2822.24,2836.7,2836.7,2805.49
5/22/19,2856.27,2856.06,2865.47,2851.11
5/21/19,2864.36,2854.02,2868.88,2854.02
5/20/19,2840.23,2841.94,2853.86,2831.29
5/17/19,2859.53,2858.6,2885.48,2854.23
5/16/19,2876.32,2855.8,2892.15,2855.8
5/15/19,2850.96,2820.38,2858.68,2815.08
5/14/19,2834.41,2820.12,2852.54,2820.12
5/13/19,2811.87,2840.19,2840.19,2801.43
5/10/19,2881.4,2863.1,2891.31,2825.39
5/9/19,2870.72,2859.84,2875.97,2836.4
5/8/19,2879.42,2879.61,2897.96,2873.28
5/7/19,2884.05,2913.03,2913.03,2862.6
5/6/19,2932.47,2908.89,2937.32,2898.21
5/3/19,2945.64,2929.21,2947.85,2929.21
5/2/19,2917.52,2922.16,2931.68,2900.5
5/1/19,2923.73,2952.33,2954.13,2923.36
4/30/19,2945.83,2937.14,2948.22,2924.11
4/29/19,2943.03,2940.58,2949.52,2939.35
4/26/19,2939.88,2925.81,2939.88,2917.56
4/25/19,2926.17,2928.99,2933.1,2912.84
4/24/19,2927.25,2934,2936.83,2926.05
4/23/19,2933.68,2909.99,2936.31,2908.53
4/22/19,2907.97,2898.78,2909.51,2896.35
4/18/19,2905.03,2904.81,2908.4,2891.9
4/17/19,2900.45,2916.04,2918,2895.45
4/16/19,2907.06,2912.26,2916.06,2900.71
4/15/19,2905.58,2908.32,2909.6,2896.48
4/12/19,2907.41,2900.86,2910.54,2898.37
4/11/19,2888.32,2891.92,2893.42,2881.99
4/10/19,2888.21,2881.37,2889.71,2879.13
4/9/19,2878.2,2886.58,2886.88,2873.33
4/8/19,2895.77,2888.46,2895.95,2880.78
4/5/19,2892.74,2884.16,2893.24,2882.99
4/4/19,2879.39,2873.99,2881.28,2867.14
4/3/19,2873.4,2876.09,2885.25,2865.17
4/2/19,2867.24,2868.24,2872.9,2858.75
4/1/19,2867.19,2848.63,2869.4,2848.63
3/29/19,2834.4,2828.27,2836.03,2819.23
3/28/19,2815.44,2809.4,2819.71,2798.77
3/27/19,2805.37,2819.72,2825.56,2787.72
3/26/19,2818.46,2812.66,2829.87,2803.99
3/25/19,2798.36,2796.01,2809.79,2785.02
3/22/19,2800.71,2844.52,2846.16,2800.47
3/21/19,2854.88,2819.72,2860.31,2817.38
3/20/19,2824.23,2831.34,2843.54,2812.43
3/19/19,2832.57,2840.76,2852.42,2823.27
3/18/19,2832.94,2822.61,2835.41,2821.99
3/15/19,2822.48,2810.79,2830.73,2810.79
3/14/19,2808.48,2810.38,2815,2803.46
3/13/19,2810.92,2799.78,2821.24,2799.78
3/12/19,2791.52,2787.34,2798.32,2786.73
3/11/19,2783.3,2747.61,2784,2747.61
3/8/19,2743.07,2730.79,2744.13,2722.27
3/7/19,2748.93,2766.53,2767.25,2739.09
3/6/19,2771.45,2790.27,2790.27,2768.69
3/5/19,2789.65,2794.41,2796.44,2782.97
3/4/19,2792.81,2814.37,2816.88,2767.66
3/1/19,2803.69,2798.22,2808.02,2787.38
2/28/19,2784.49,2788.11,2793.73,2782.51
